FirstDownloading,RXWC,SDWI,AFNetworking
,1.38837,1.87503,1.41683
,0.39669,0.75614,0.53062
,0.24751,0.30010,0.30746
,0.24280,0.29199,0.28778
,0.22808,0.30111,0.27508
,0.26539,0.28589,0.29492
,0.22883,0.32434,0.33640
,0.26146,0.29546,0.30383
,0.26104,0.34003,0.33417
,0.17522,0.26053,0.25224
,0.26946,0.35882,0.36567
,0.25070,0.32057,0.33469
,0.12544,0.17412,0.16876
,0.27075,0.30633,0.26651
,0.22604,0.33563,0.33584
,0.24517,0.32342,0.21008
,0.28177,0.28132,0.25476
,0.17923,0.26029,0.21304
,0.23218,0.34852,0.26856
,0.27266,0.23452,0.31376
